from n,tag,c/e,content,,,,,,,,,,,
14,使得,cause,而前一周三季度经济数据的公布也,15,5,14,,,,,,,,
14,使得,effect,投资者对于经济增长的预期有所微调,16,1,16,,,,,,,,
14,使得,cause,但是考虑到近期人民币升值预期的升温,17,8,17,,,,,,,,
14,使得,effect,外生流动性规模有所回升,11,1,14,,,,,,,,
14,使得,cause,近期的调整,5,0,0,,,,,,,,
14,使得,effect,其信用利差再度扩大,9,2,9,,,,,,,,
14,使得,cause,且近期的市场调整,8,5,8,,,,,,,,
14,使得,effect,中票收益率基本回到三季度末的水平,16,1,16,,,,,,,,
14,使得,cause,对于政府或银行救助的高度预期,14,1,14,,,,,,,,
14,使得,effect,部分投资者倾向于选择高票息的品种,16,1,16,,,,,,,,
15,使得,cause,过度依赖于房地产和基建投资拉动的经济模式,20,1,20,,,,,,,,
15,使得,effect,收入分配更向政府倾斜,10,1,10,,,,,,,,
15,带来,cause,外汇占款回升也有,8,1,6,,,,,,,,
15,带来,effect,流动性宽松之嫌,7,1,5,,,,,,,,
15,导致,cause,打压供给只会,6,1,4,,,,,,,,
15,导致,effect,“劣币驱逐良币”的效应进一步深化,16,1,16,,,,,,,,
17,使得,cause,阶段性下行压力加大,9,1,9,,,,,,,,
17,使得,effect,A股当前所处的基本面氛围相对偏冷,16,1,16,,,,,,,,
17,引发,cause,虽然经济低迷确实会,9,3,6,,,,,,,,
17,引发,effect,市场预期新一轮宽松政策出台,13,1,13,,,,,,,,
17,带来,cause,难免需要通过回调整固来消化经济状态所,18,7,10,,,,,,,,
17,带来,effect,的负面影响,5,0,0,,,,,,,,
17,推动,cause,这都使得资金,6,0,0,,,,,,,,
17,推动,effect,市痕迹明显的A股有望保持强势,14,7,14,,,,,,,,
18,使得,cause,使得影子银行成为与商业银行等量齐观的“平行银行体系”并,27,3,26,,,,,,,,
18,使得,effect,金融体系成为一个跨界融合的风险综合体,18,1,18,,,,,,,,
18,导致,cause,跨界性的金融创新,8,1,8,,,,,,,,
18,导致,effect,的金融风险实际上是扩大了金融体系的复杂性,20,2,5,10,20,,,,,,
18,使得,cause,一旦期限错配导致流动性风险将,14,3,6,9,13,,,,,,
18,使得,effect,机构最基本的风险管理策略遭到破坏,16,1,16,,,,,,,,
18,使得,cause,在部分理财领域上由于金融机构的创新,17,11,17,,,,,,,,
18,使得,effect,部分私募产品呈现公募化特征,13,1,13,,,,,,,,
18,导致,cause,金融机构期限错配,8,1,8,,,,,,,,
18,导致,effect,的流动性危机将是最大的风险,13,2,6,,,,,,,,
18,使得,cause,刚兑的打破,5,1,5,,,,,,,,
18,使得,effect,信用利差的定价出现改善,11,1,11,,,,,,,,
19,带来,cause,这将给外国的出口商和投资者,13,0,0,,,,,,,,
19,带来,effect,更多的机会,5,0,0,,,,,,,,
20,使得,cause,再比如说油改、铁路改革等诸多改革预期也,19,5,11,,,,,,,,
20,使得,effect,相关产业股迎来了股价催化剂,13,1,13,,,,,,,,
21,迫使,cause,低利润率和其带来的低利润会,13,1,4,10,12,,,,,,
21,迫使,effect,效益低下的企业自动关闭（通常是年代久远的重污染企业）,26,1,11,,,,,,,,
22,带来,cause,而商业银行自身又面临金融科技、互联网金融发展,22,11,22,,,,,,,,
22,带来,effect,的挑战和商业银行转型的压力,13,5,13,,,,,,,,
24,推动,cause,英国脱欧公投,6,1,6,,,,,,,,
24,推动,effect,避险情绪,4,1,4,,,,,,,,
25,使得,cause,二是影子银行,6,3,6,,,,,,,,
25,使得,effect,货币周转率和使用效率得到提高,14,1,14,,,,,,,,
25,使得,cause,二是影子银行的出现,9,3,9,,,,,,,,
25,使得,effect,银行获取资金的自由度进一步加强,15,1,15,,,,,,,,
25,导致,cause,通过口径的调整来更为有效地应对信贷规避、银行表外融资等现象,29,16,26,,,,,,,,
25,导致,effect,的中央银行对准备金控制力降低问题,16,2,14,,,,,,,,
25,促进,cause,并建立完善的存款保险制度、,13,2,12,,,,,,,,
25,促进,effect,金融机构正当竞争、提高银行议价能力,17,1,8,9,17,,,,,,
26,使得,cause,收益率的下降,6,1,6,,,,,,,,
26,使得,effect,银行理财产品的市场吸引力下降,14,1,14,,,,,,,,
26,使得,cause,“新规的发布,6,2,6,,,,,,,,
26,使得,effect,银行理财面临较大的调整压力”,14,1,13,,,,,,,,
27,导致,cause,美国经济的季节性调整,10,1,10,,,,,,,,
27,导致,effect,出口走弱,4,1,4,,,,,,,,
27,导致,cause,而大宗商品价格的走弱等,11,2,10,,,,,,,,
27,导致,effect,进口大幅低于预期,8,1,8,,,,,,,,
27,使得,cause,4月份以来大宗商品见顶回落的价格因素以及地产投资本身会,27,6,13,21,24,,,,,,
27,使得,effect,经济出现一定的调整,9,1,9,,,,,,,,
27,使得,cause,欧美经济复苏局势的明朗,11,1,11,,,,,,,,
27,使得,effect,出口走好,4,1,4,,,,,,,,
28,使得,cause,但6-9月注册量的增长,11,6,11,,,,,,,,
28,使得,effect,三季度中票净供给明显冲高,12,4,12,,,,,,,,
28,使得,cause,由于发行主体信用等级下移,12,3,12,,,,,,,,
28,使得,effect,注册规模明显上升,8,1,8,,,,,,,,
28,使得,cause,但考虑到三季度收益率明显上升,14,8,14,,,,,,,,
28,使得,effect,信用债投资价值大幅回升,11,1,11,,,,,,,,
28,使得,cause,而经济基本面疲软及通胀维持低位,15,2,8,9,15,,,,,,
28,使得,effect,市场对政策放松仍存期待,11,1,11,,,,,,,,
29,使,cause,（一）直接因素一是欧债危机,13,10,13,,,,,,,,
29,使,effect,欧元区国家经济增长放缓,11,1,11,,,,,,,,
29,导致,cause,投资者为规避高风险资产,11,5,11,,,,,,,,
29,导致,effect,大量资产逃离欧元,8,1,8,,,,,,,,
29,造成,cause,会给我国,4,0,0,,,,,,,,
29,造成,effect,“热钱”流入的风险,9,1,9,,,,,,,,
29,带来,cause,而人民币的升值会给出口,11,2,7,,,,,,,,
29,带来,effect,直接的负面影响,7,0,0,,,,,,,,
29,造成,cause,而对个人消费的挤压则进一步,13,2,9,,,,,,,,
29,造成,effect,欧洲市场进口需求下降,10,1,10,,,,,,,,
29,带来,cause,最大限度地减少此次危机给我国出口,16,0,0,,,,,,,,
29,带来,effect,的消极影响,5,0,0,,,,,,,,
29,使,cause,释放内需,4,1,4,,,,,,,,
29,使,effect,更多的出口企业将目标市场转移至国内,17,4,17,,,,,,,,
30,使,cause,这一较长的会议间隔期也会,12,3,10,,,,,,,,
30,使,effect,澳洲联储在本月的会议上提前释放各种货币政策措施,23,1,23,,,,,,,,
30,使得,cause,纽元持续徘徊在高位的汇率也,13,1,12,,,,,,,,
30,使得,effect,这个依赖初级产品出口生存的小型经济体面临巨大的经济压力,27,3,27,,,,,,,,
30,带来,cause,重建工作拉动国内需求并,11,1,10,,,,,,,,
30,带来,effect,一定的通胀压力的状况尚未完全消除,16,4,7,,,,,,,,
32,推动,cause,为市场注入大量流动性并,11,1,10,,,,,,,,
32,推动,effect,欧美股市出现持续上涨行情,12,1,12,,,,,,,,
32,使得,cause,两会召开期间关于经济增长速度和房地产政策调控的解读,25,7,25,,,,,,,,
32,使得,effect,市场对于政策放松的预期有所担忧,15,1,15,,,,,,,,
33,带来,cause,“债券通”,5,1,5,,,,,,,,
33,带来,effect,的影响表现在几个方面,10,0,0,,,,,,,,
35,导致,cause,监管趋严和宏观经济下行共同,13,1,4,6,11,,,,,,
35,导致,effect,的高收益理财产品萎缩,10,2,10,,,,,,,,
35,导致,cause,业内人士认为这种预期部分,12,0,0,,,,,,,,
35,导致,effect,了人民币资本外流的压力增大,13,2,13,,,,,,,,
36,使得,cause,跨领域数据的交叉融合和数据的流动,16,1,10,12,16,,,,,,
36,使得,effect,许多传统行业面临转型的机遇与挑战,16,3,16,,,,,,,,
37,使,cause,而且通道类业务过多将,10,3,9,,,,,,,,
37,使,effect,理财产品原先的短中介链变成长中介链,17,1,17,,,,,,,,
37,使得,cause,法律主体地位资格的丧失,11,1,11,,,,,,,,
37,使得,effect,理财产品对外签约或交易的时候,14,0,0,,,,,,,,
37,使得,cause,法律主体地位资格的丧失容易,13,1,11,,,,,,,,
37,使得,effect,投资者将银行理财产品与银行存款等自营产品混淆,22,1,22,,,,,,,,
38,带来,cause,有效缓解了当前因整改,10,9,10,,,,,,,,
38,带来,effect,的新风险,4,0,0,,,,,,,,
38,带来,cause,避免了因为处置风险而,10,6,9,,,,,,,,
39,导致,cause,投资新项目或者拓展新业务,12,1,5,8,12,,,,,,
39,导致,effect,投资失败,4,1,4,,,,,,,,
39,导致,cause,企业前期盲目扩张或者持续亏损将,15,1,8,11,14,,,,,,
39,导致,effect,营运资金严重依赖外部融资,12,1,12,,,,,,,,
39,触发,cause,召开持有人大会的,8,1,7,,,,,,,,
39,触发,effect,条件基本都是明显的信用资质恶化情景,17,0,0,,,,,,,,
40,使得,cause,尤其是尚未健全的惩罚机制,12,4,12,,,,,,,,
40,使得,effect,信息披露制度难以对发行人形成有效制约,18,1,18,,,,,,,,
40,使得,cause,这一发行制度,6,3,6,,,,,,,,
40,使得,effect,监管机构相当于为国内企业债券附加了自身的信用,22,1,22,,,,,,,,
41,引发,cause,使得油价暴跌,6,3,6,,,,,,,,
41,引发,effect,了一场全球制造业的下行周期,13,4,13,,,,,,,,
42,使得,cause,更值得注意的是国内本币市场资金面的宽松,19,8,19,,,,,,,,
42,使得,effect,人民币固定收益类资产的平均预期收益率逐步下滑,22,1,22,,,,,,,,
43,促进,cause,利率市场化加速,7,1,7,,,,,,,,
43,促进,effect,中国金融市场的法制化、规范化以及国际化,19,1,19,,,,,,,,
43,因为,cause,利率市场化的改革面临更加激烈的竞争和严峻的挑战,23,1,8,,,,,,,,
43,因为,effect,信托公司肯定也会,8,0,0,,,,,,,,
44,使得,cause,过紧的资金面,6,1,6,,,,,,,,
44,使得,effect,调整提前到来,6,1,6,,,,,,,,
44,使得,cause,新股发行制度也客观上,10,1,6,,,,,,,,
44,使得,effect,一级市场的筹码会足够便宜,12,1,12,,,,,,,,
45,致使,cause,因前期信贷投放加大和部分银行资金期限错配等多因素,24,2,9,13,20,,,,,,
45,致使,effect,银行间市场资金陡现紧张,11,1,11,,,,,,,,
45,使得,cause,市场买入意愿大幅减弱,10,1,10,,,,,,,,
45,使得,effect,票据市场整体交易趋于下降,12,1,12,,,,,,,,
45,引起,cause,受财政性资金上缴、债市风波和银行间市场传言,21,2,8,10,13,15,21,,,,
45,引起,effect,的流动性恐慌等因素影响,11,2,6,,,,,,,,
45,使得,cause,市场流动性趋紧,7,1,7,,,,,,,,
45,使得,effect,下半年票据转贴现整体利率水平明显高于上半年（见图3）,26,1,21,,,,,,,,
45,使得,cause,利率市场化进程加快将,10,1,9,,,,,,,,
45,使得,effect,货币市场利率波动性显著增强,13,1,13,,,,,,,,
45,促使,cause,一是金融脱媒化和新一轮金融改革深化将从资产和负债两端,26,3,7,9,17,,,,,,
45,促使,effect,金融机构顺应客户需求,10,1,10,,,,,,,,
45,使得,cause,一是金融深化改革和创新发展,13,3,8,10,13,,,,,,
45,使得,effect,票据业务风险的影响因素更加复杂,15,1,15,,,,,,,,
45,推动,cause,中央加快,4,0,0,,,,,,,,
45,推动,effect,经济结构优化调整和转变经济发展方式,17,1,8,10,17,,,,,,
45,促进,cause,有利于进一步,6,0,0,,,,,,,,
45,促进,effect,上述行业中小企业加快发展,12,5,12,,,,,,,,
46,使得,cause,对政策的预期,6,1,6,,,,,,,,
46,使得,effect,收益率逐步下行,7,1,7,,,,,,,,
46,使得,cause,同时资金面边际趋紧,9,3,9,,,,,,,,
46,使得,effect,负债端压力增大,7,1,7,,,,,,,,
46,带来,cause,但去金融杠杆的力度确实对把握利率走势,18,2,6,,,,,,,,
46,带来,effect,了很大困扰,5,0,0,,,,,,,,
46,使,cause,监管趋严将会,6,1,4,,,,,,,,
46,使,effect,理财规模增速进一步放缓,11,1,11,,,,,,,,
46,使得,cause,同时房地产限购政策将会,11,3,9,,,,,,,,
46,使得,effect,房贷规模下降,6,1,6,,,,,,,,
46,带来,cause,预计保险能够为债市,9,0,0,,,,,,,,
46,带来,effect,一定配置力量,6,1,6,,,,,,,,
46,造成,cause,叠加债市代持违约,8,3,8,,,,,,,,
46,造成,effect,的交易对手风险提高,9,2,9,,,,,,,,
47,使得,cause,日益严重的环境问题也,10,1,9,,,,,,,,
47,使得,effect,企业执行始终如一的高标准质量控制变得极为困难,22,1,22,,,,,,,,
48,带来,cause,双签制度,4,1,4,,,,,,,,
48,带来,effect,的佣金成本变动是一个需要注意的隐患,17,2,7,,,,,,,,
48,使得,cause,双签制度,4,1,4,,,,,,,,
48,使得,effect,销售误导治理更加困难,10,1,10,,,,,,,,
48,带来,cause,双签制度将会,6,1,4,,,,,,,,
48,带来,effect,一系列的问题,6,0,0,,,,,,,,
48,造成,cause,而一步到位式的改革则会对行业的销售渠道,19,2,9,,,,,,,,
48,造成,effect,过于严重的损害,7,1,7,,,,,,,,
48,带来,cause,双签制度实行所,7,1,6,,,,,,,,
48,带来,effect,的营销员数量的大幅增加,11,2,11,,,,,,,,
48,使得,cause,双签制度还会,6,1,4,,,,,,,,
48,使得,effect,专业保险中介机构的发展受到影响,15,1,15,,,,,,,,
50,带来,cause,有效的缓解了当前因整改,11,10,11,,,,,,,,
50,带来,effect,的新风险,4,0,0,,,,,,,,
50,带来,cause,避免了因为处置风险而,10,6,9,,,,,,,,
51,使得,cause,持续下滑的收益率,8,1,8,,,,,,,,
51,使得,effect,封闭式银行理财产品的客户吸引力有所下滑,19,1,19,,,,,,,,
52,造成,cause,央行的表态对那些协议存款占比较高的货币基金将,22,0,0,,,,,,,,
52,造成,effect,较大的冲击,5,0,0,,,,,,,,
52,带来,cause,政策红利的取消将,8,1,7,,,,,,,,
52,带来,effect,较大的影响,5,0,0,,,,,,,,
52,带来,cause,兼顾流动性和收益性将给基金经理,15,1,9,,,,,,,,
52,带来,effect,更大的挑战,5,0,0,,,,,,,,
53,使得,cause,2012年年末的大涨行情,12,9,12,,,,,,,,
53,使得,effect,基金快速加仓,6,1,6,,,,,,,,
53,因为,cause,“88%魔咒”而对大盘过于担心,15,9,15,,,,,,,,
53,因为,effect,投资者没必要,6,0,0,,,,,,,,
53,使得,cause,一是审核流程的简化,9,3,9,,,,,,,,
53,使得,effect,新基金发行速度进一步提升,12,1,12,,,,,,,,
54,使得,cause,就是互联网金融的出现,10,3,10,,,,,,,,
54,使得,effect,我们直接金融和间接金融之间的界限,16,0,0,,,,,,,,
54,使得,cause,在四个层面上互联网金融的出现,14,7,14,,,,,,,,
54,使得,effect,整个金融体系的风险产生了一些新的特征,18,1,18,,,,,,,,
55,使得,cause,而产业的数字化风潮则,10,2,9,,,,,,,,
55,使得,effect,产业内公司得以运用大数据分析,14,1,14,,,,,,,,
55,使得,cause,数字经济运作的高效率,10,1,10,,,,,,,,
55,使得,effect,个性化定制能够实现批量化生产的时间效益,19,1,19,,,,,,,,
56,推动,cause,在这样的情况下,7,0,0,,,,,,,,
56,推动,effect,旧议题达成显然困难重重,11,1,11,,,,,,,,
56,引起,cause,正是因为多边协议推进缓慢才,13,5,12,,,,,,,,
56,引起,effect,了双边协议签订的热潮,10,2,10,,,,,,,,
56,推动,cause,有很多国际代表就明确表达了他们对中国积极参与和,23,0,0,,,,,,,,
56,推动,effect,多边贸易体制的期待,9,0,0,,,,,,,,
56,推动,cause,十九大报告提出“,8,0,0,,,,,,,,
56,推动,effect,形成全面开放新格局”,10,1,9,,,,,,,,
57,造成,cause,“我们希望打,6,0,0,,,,,,,,
57,造成,effect,新一代互联网的银行,9,1,9,,,,,,,,
58,使得,cause,过快的发展,5,0,0,,,,,,,,
58,使得,effect,同业理财面临客户、资产同质化极为严重的情况,21,1,21,,,,,,,,
58,使得,cause,同时期限错配因素的影响,11,3,11,,,,,,,,
58,使得,effect,流动性风险与信用风险积聚速度也极快,17,1,17,,,,,,,,
58,使,cause,能更好地,4,0,0,,,,,,,,
58,使,effect,投资者及第三方机构准确地了解市场情况,18,1,18,,,,,,,,
59,使得,cause,越来越多的创新金融工具的出现将,15,6,14,,,,,,,,
59,使得,effect,银行理财产品逐渐脱离当前利率市场化“推手”的作用,24,1,24,,,,,,,,
59,推动,cause,这仍然是监管层,7,0,0,,,,,,,,
59,推动,effect,理财产品转型的具有重大意义的举措,16,1,6,,,,,,,,
60,使得,cause,股市板块的轮动,7,1,7,,,,,,,,
60,使得,effect,偏股方向基金业绩呈现较为显著的差异性,18,1,18,,,,,,,,
60,使得,cause,受一月份GDP增速超预期以及汇丰制造业PMI指数的好转,27,5,12,15,24,,,,,,
60,使得,effect,场外资金持续进入,8,1,8,,,,,,,,
60,推动,cause,一季度机构配置债券需求以及资金面整体较为宽松是,23,1,12,15,22,,,,,,
60,推动,effect,债市上行的主要动力,9,1,4,,,,,,,,
60,使得,cause,但由于基础市场风格轮动的特征,14,4,11,,,,,,,,
60,使得,effect,本季度股票基金投资效果出现较大的差异,18,4,18,,,,,,,,
60,使得,cause,债市的走强,5,1,5,,,,,,,,
60,使得,effect,债券基金整体获得正收益,11,1,11,,,,,,,,
60,使得,cause,中证转债指数年初至今上涨5.59%,17,1,12,,,,,,,,
60,使得,effect,转债基金领涨,6,1,6,,,,,,,,
61,使得,cause,这种国际货币体系会,9,0,0,,,,,,,,
61,使得,effect,资本流动发生异常,8,1,8,,,,,,,,
61,带来,cause,储蓄率的变化确实,8,1,6,,,,,,,,
61,带来,effect,很多值得研究的题目,9,0,0,,,,,,,,
62,带来,cause,从而在一定程度上缓解进口价格上升幅度过大,20,11,20,,,,,,,,
62,带来,effect,的进口需求的锐减,8,2,8,,,,,,,,
62,导致,cause,进口关税的上涨将,8,1,7,,,,,,,,
62,导致,effect,商品进口价格的大幅上升,11,1,11,,,,,,,,
62,导致,cause,价格水平的上升,7,1,7,,,,,,,,
62,导致,effect,了实际工资水平的下降,10,2,10,,,,,,,,
62,促进,cause,虽然进口关税能够为本国生产商提供贸易保护从而一定程度上,27,3,20,,,,,,,,
62,促进,effect,企业收入与工人工资的提高,12,1,12,,,,,,,,
62,使得,cause,他国的报复性关税,8,1,8,,,,,,,,
62,使得,effect,美国的月出口额平均减少24亿美元,16,1,16,,,,,,,,
62,带来,cause,从而避免关税,6,5,6,,,,,,,,
62,带来,effect,的产品价格上涨,7,2,7,,,,,,,,
62,使得,cause,但是较高的成本与较低的效率,13,3,7,9,13,,,,,,
62,使得,effect,重构供应链在短期内难以发挥效用,15,1,15,,,,,,,,
62,使得,cause,其提供的较高的产品质量与交付能力,16,5,16,,,,,,,,
62,使得,effect,美国进口商难以在短时间内花较低的成本找到可替代的生产商,27,1,27,,,,,,,,
62,导致,cause,后者来自于向高成本供应商转移,14,6,14,,,,,,,,
62,导致,effect,的生产成本的上升,8,2,8,,,,,,,,
62,导致,cause,美国企业难以通过供应链重构以避免进口关税,20,17,20,,,,,,,,
62,导致,effect,的价格上升,5,2,5,,,,,,,,
62,导致,cause,对进口商品征收10%的关税将,14,1,13,,,,,,,,
62,导致,effect,国内生产者价格在12个月内上涨1.3%,19,1,15,,,,,,,,
62,促进,cause,利用美元结算作为武器来实施贸易禁运将,18,1,17,,,,,,,,
62,促进,effect,人民币更广泛的使用从而有利于人民币的国际化进程,23,1,9,12,23,,,,,,
63,使得,cause,绿色金融市场（碳排放权交易市场等）可以,19,1,6,,,,,,,,
63,使得,effect,负外部性内部化,7,1,7,,,,,,,,
63,促进,cause,绿色金融能够,6,1,4,,,,,,,,
63,促进,effect,产业整合,4,1,4,,,,,,,,
63,使得,cause,绿色金融市场能够,8,1,6,,,,,,,,
63,使得,effect,资金聚集在优势绿色企业助推绿色产业进行整合,21,1,21,,,,,,,,
63,由于,cause,当下资金实力有限的消费者可以进入绿色消费领域,22,1,22,,,,,,,,
63,由于,effect,使得有绿色消费意愿但是,11,0,0,,,,,,,,
64,推动,cause,比起当初以金融股为代表的个别权重板块,18,0,0,,,,,,,,
64,推动,effect,的指数型上涨,6,2,6,,,,,,,,
64,引发,cause,资金介入,4,1,4,,,,,,,,
64,引发,effect,的市场热情料将丰富和持久,12,2,12,,,,,,,,
64,使得,cause,短期的快速上涨,7,1,7,,,,,,,,
64,使得,effect,权重板块本身具备休整需求,12,1,12,,,,,,,,
64,使得,cause,处罚操纵股价等,7,1,6,,,,,,,,
64,使得,effect,部分中小盘股承压,8,1,8,,,,,,,,
65,使,cause,地方融资平台受限,8,1,8,,,,,,,,
65,使,effect,基建投资明显下行,8,1,8,,,,,,,,
65,使得,cause,“终生问责、倒查责任”的压力也,15,1,14,,,,,,,,
65,使得,effect,地方官员推基建、上项目的积极性被削弱,18,1,18,,,,,,,,
65,使得,cause,房地产销售的放缓,8,1,8,,,,,,,,
65,使得,effect,建安投资发生了明显下降,11,1,11,,,,,,,,
65,使得,cause,房地产周期下行也,8,1,7,,,,,,,,
65,使得,effect,家电家具等消费品类增速放缓,13,1,13,,,,,,,,
65,使,cause,棚改力度减弱也,7,1,6,,,,,,,,
65,使,effect,商品房库存累积和土地购置下滑,14,1,7,9,14,,,,,,
65,使,cause,货币政策将积极配合,9,1,4,,,,,,,,
65,使,effect,其维持低位,5,0,0,,,,,,,,
65,使,cause,但货币政策将积极配合,10,2,5,,,,,,,,
66,使,cause,假如必须等待积累去,9,0,0,,,,,,,,
66,使,effect,某些单个资本增长到能够修铁路的程度,17,3,17,,,,,,,,
66,促进,cause,股权分置问题的解决,9,1,9,,,,,,,,
66,促进,effect,了证券市场制度建设和上市公司治理结构的改善,21,2,9,11,21,,,,,,
66,使,cause,正反馈交易,5,1,5,,,,,,,,
66,使,effect,股价变动趋势加强,8,1,8,,,,,,,,
66,带来,cause,减小由于流动性溢价,9,5,9,,,,,,,,
66,带来,effect,中小板和创业板估值偏高的问题,14,1,11,,,,,,,,
66,促进,cause,证券市场体系的完善能够,11,1,9,,,,,,,,
66,促进,effect,证券市场筹资和融资功能发挥,13,1,13,,,,,,,,
68,使得,cause,监管体系的全面有效,9,1,9,,,,,,,,
68,使得,effect,美国地方政府财务透明,10,1,10,,,,,,,,
68,使得,cause,预算制度改进将,7,1,6,,,,,,,,
68,使得,effect,地方政府投资、融资均将纳入公众视野,17,1,17,,,,,,,,
68,使得,cause,市政债的推出将,7,1,6,,,,,,,,
68,使得,effect,地方政府融资行为更加规范、理性,15,1,15,,,,,,,,
69,使得,cause,现实经济活动中支付方式需求的多样性及短期融资需求的存在,27,1,17,19,24,,,,,,
69,使得,effect,传统票据市场规模将来预计在某个时间点达到稳定状态,24,1,24,,,,,,,,
69,使得,cause,支付方式需求的多样性,10,1,10,,,,,,,,
69,使得,effect,许多企业将银行承兑汇票贴现后以货币形式进行支付,23,1,23,,,,,,,,
69,使得,cause,其挤出效应,5,2,5,,,,,,,,
69,使得,effect,银行承兑汇票需求被民间融资市场所承接,18,1,18,,,,,,,,
70,使得,cause,市场放量型的增长,8,1,8,,,,,,,,
70,使得,effect,各方参与主体呈现百花齐放的态势,15,1,15,,,,,,,,
70,推动,cause,二是有利于,5,0,0,,,,,,,,
70,推动,effect,我国经济增长方式的转变,11,3,11,,,,,,,,
