article,sentence,keyword,cause/effect,content,,,,,,,
43,19,决定,cause,了投资者持有的外币资产所能获得的收益率维持在一个较低水平,28,2,28,,,,
43,23,导致,cause,“在外币利率水平基本持平的情况下，,17,3,12,,,,
43,23,导致,cause,外币理财产品收益率下滑的因素就集中在人民币汇率和国内市场利率水平两个方面”,37,1,36,,,,
43,28,使得,cause,更值得注意的是国内本币市场资金面的宽松使得人民币固定收益类资产的平均预期收益率逐步下滑，这,45,8,43,,,,
43,28,使得,cause,投资于国内人民币债券与货币市场工具、非标债权类资产的理财产品本金收益率下滑，尤其是外币产品发行集中的6个月以上期限的市场资金价格（Shibor）从6月份开始转跌，进一步拖累外币理财产品收益率,95,1,37,,,,
43,30,因而,cause,另外，6月份以后，美元对人民币汇率由盘整转为快速下行，这导致美元外币理财产品的平均预期收益率跌势加剧，再加上美元外币理财产品在外币理财产品中的发行量占比接近六成,80,31,50,55,80,,
43,30,因而,cause,使得外币理财产品整体收益率持续走低，而在经历央行4至5月期间两次定向降准后，人民币理财产品从第二季度开始收益率下行势头显著放缓，使得二者收益率出现显著差异,77,3,17,,,,
43,32,由于-因此,cause,美国已经结束量化宽松政策，,13,1,12,,,,
43,32,由于-因此,cause,美元对人民币汇率走势很可能从此前低位反弹，而部分国家继续维持量化宽松政策可能使得这些国家的货币对人民币汇率仍然维持在较低水平；,63,1,20,,,,
44,0,使得,cause,利率市场化,5,1,5,,,,
44,0,使得,cause,各类金融机构处在一个相对公平的竞争起跑线上，避免制度歧视效应；,31,1,30,,,,
44,1,使得,cause,利率市场化加速促进中国金融市场的法制化、规范化以及国际化，,29,1,28,,,,
44,1,使得,cause,信托机构更加贴近市场，与国际市场接轨；,19,1,18,,,,
44,2,因,cause,利率体制红利快速弱化乃至消失的过程,17,1,14,,,,
44,2,因,cause,也就是信托公司为首的金融机构市场化程度较高的先发优势得以逐步彰显的过程,35,4,32,,,,
44,4,带来,cause,央行全面放开贷款利率下限，尽管市场各方认为信号意义大于实际意义，但对于全方位的利率市场化可能,46,1,12,,,,
44,4,带来,cause,的影响，各金融机构都不容忽视，信托行业也不例外,23,0,0,,,,
44,8,因此,cause,持“利好”观点的人认为信托已经是利率市场化的先行者,25,12,25,,,,
44,8,因此,cause,影响不大，您对此观点作何判断？,15,0,0,,,,
44,9,使得,cause,邢成：一般意义的利率市场化对信托业发展当然是利好因素，因为首先利率市场化,36,32,36,,,,
44,9,使得,cause,各类金融机构处在一个相对公平的竞争起跑线上，避免制度歧视效应；,31,1,30,,,,
44,10,使得,cause,其次，利率市场化加速促进中国金融市场的法制化、规范化以及国际化，,32,4,31,,,,
44,10,使得,cause,信托机构更加贴近市场，与国际市场接轨；,19,1,18,,,,
44,11,因,cause,利率体制红利快速弱化乃至消失的过程,17,1,14,,,,
44,11,因,cause,也就是信托公司为首的金融机构市场化程度较高的先发优势得以逐步彰显的过程,35,4,32,,,,
44,20,造成,cause,您认为未来改革进一步推进是否会对信托现有业务及盈利水平等,28,0,0,,,,
44,20,造成,cause,全方位的挤压？,7,1,6,,,,
44,25,带来,cause,一旦我国利率制度实现全方位市场化改革，包括存款利率放开，肯定会给信托公司现有的业务模式和盈利水平,48,3,18,,,,
44,25,带来,cause,巨大挑战和压力,7,0,0,,,,
44,29,从而,cause,其次，伴随银行存款利率的提升，银行系的理财产品资金成本也必然会随之提高，其显性形式就是商业银行推出的理财产品收益标准也会较现有水平大幅提升,69,44,69,,,,
44,29,从而,cause,缩小其与信托理财产品收益的差距，使得两类金融机构理财产品的市场界限进一步模糊和交叉，最终削弱信托理财产品的竞争力,56,1,15,19,41,45,56
44,39,导致,cause,避免盲目从众，利润导向，追逐热点，急功近利，避免不顾自身具体情况盲目追求所谓“金融超市”、“无所不能”，照搬“大而全”的经营模式，最终使得公司风控能力、决策能力、专业团队能力与公司业务结构严重失衡，,99,70,98,,,,
44,39,导致,cause,经营风险,4,1,4,,,,
45,4,由于,cause,流动性紧张局面难以得到根本改善，三季度债券走势确实不太乐观，将采取防御策略,37,1,15,,,,
45,4,由于,cause,等待介入机会,6,1,6,,,,
45,25,使得,cause,5月底之后，随着货币市场利率吃紧，央行不干预的操作思路,27,9,27,,,,
45,25,使得,cause,货币市场利率屡屡刷新纪录，各期限债券呈普跌格局,23,1,23,,,,
45,32,因为,cause,通胀预期、资金紧张、债券供需失衡,16,1,4,6,9,11,16
45,32,因为,cause,或者是几个因素的叠加,10,0,0,,,,
45,40,使得,cause,央行在总体风险可控的前提下让市场自行调节流动性，选择暂不干预的操作思路，防范平台风险的思路，导致市场预期迅速改变，货币市场利率大幅上行，过紧的资金面,74,49,56,58,67,69,74
45,40,使得,cause,调整提前到来,6,1,6,,,,
45,55,使得,cause,证券时报记者：5月外汇占款骤减，美联储量化宽松（QE）退出预期强烈、热钱大幅流出,40,10,15,17,40,,
45,55,使得,cause,市场资金面持续紧张，您认为资金紧张局面会持续多久？,25,1,9,,,,
45,61,使得,cause,当前的资金紧张可能还是因为监管层对金融体系的规范所引起，特别是对金融同业业务的监管，,42,32,41,,,,
45,61,使得,cause,短期的资金供需出现了严重的失衡,15,1,15,,,,
45,66,因此,cause,市场猛然意识到，自己可以获得的流动性将大幅缩减,23,16,23,,,,
45,66,因此,cause,经历了一轮大范围的下行,11,1,11,,,,
45,72,因此,cause,刘兴旺：鉴于本轮资金偏紧的大背景是资本流出新兴市场，这使得货币投放的重要渠道外汇占款熄火，加之7月上旬银行准备金上缴，以及债券市场和理财市场的整顿，这些因素还会持续一段时间,86,30,44,52,58,62,73
45,72,因此,cause,预计7月份的流动性压力依然较大,15,7,15,,,,
45,91,使得,cause,经过本次筛选之后，依旧可以成功发行的公司，肯定是非常优质的公司，同时，新股发行制度也客观上,45,36,41,,,,
45,91,使得,cause,一级市场的筹码会足够便宜,12,1,12,,,,
45,94,因此,cause,不过，长期来看，债市仍然面临较好的环境,19,9,19,,,,
45,94,因此,cause,一旦收益率上升至合理水平，信用类债券还是有很大的投资机会,28,14,28,,,,
46,15,使得,cause,首月，主要商业银行加大一般性信贷投放，,19,4,18,,,,
46,15,使得,cause,当月各项新增信贷总量超万亿元，当月全国票据贴现余额环比下降335亿元,34,1,14,,,,
46,19,致使,cause,6月份,3,0,0,,,,
46,19,致使,cause,银行间市场资金陡现紧张，银行票据业务经营出现明显调整，开始出票套现来缓解资金紧张状况,42,1,11,13,26,28,42
46,24,使得,cause,5月，随着信贷规模和资金面逐步由松变紧，尤其在6月中下旬银行间市场资金陡然紧张促使银行卖票套现的动机明显增强，市场买入意愿大幅减弱,65,6,19,29,54,56,65
46,24,使得,cause,票据市场整体交易趋于下降,12,1,12,,,,
46,31,因,cause,春节期间票据转贴现利率短暂出现上涨外,18,1,17,,,,
46,31,因,cause,在大部分时期票据转贴现利率逐月下行,17,1,17,,,,
46,32,引起,cause,第二季度，受财政性资金上缴、债市风波和银行间市场传言,26,7,13,15,18,20,26
46,32,引起,cause,的流动性恐慌等因素影响，资金面趋紧，加之适逢年中规模调控和政策调整的关键时点，资金和规模由年初的宽松转向“双紧”，票据利率跌幅趋缓后走出反弹升涨行情,74,2,6,,,,
46,46,带来,cause,三、金融市场深化改革为银行票据业务经营,19,3,10,,,,
46,46,带来,cause,诸多机遇和挑战今后一段时期，我国将全面深化经济体制和金融市场改革，商业银行票据业务经营环境将发生深刻变化,52,0,0,,,,
46,47,使得,cause,多层次资本市场发展带来的脱媒化，使得跨市场资金双向流动的频率和金额上升，利率市场化进程加快将,46,19,35,37,45,,
46,47,使得,cause,货币市场利率波动性显著增强,13,1,13,,,,
46,50,促使,cause,今后一段时期，金融市场深化改革为票据市场创新发展提供了如下几方面有利条件：一是金融脱媒化和新一轮金融改革深化将从资产和负债两端,63,40,44,46,54,,
46,50,促使,cause,金融机构顺应客户需求，进一步提升票据业务产品创新水平，有助于跨市场票据业务的创新发展；,43,1,10,12,26,28,42
46,51,推动,cause,二是金融机构对电子票据业务参与意识增强，将,21,3,19,,,,
46,51,推动,cause,电票业务稳步发展，为我部与同业提供了更广阔的合作空间；,27,1,8,,,,
46,53,使,cause,四是银行资本监管的更加严格，,14,3,13,,,,
46,53,使,cause,资本消耗相对较低的票据业务越来越受到银行重视，将提高票据业务在全行经营中的地位，有助于银行票据业务经营的创新转型,56,1,22,25,39,41,56
46,54,使得,cause,同时，宏观金融环境的变化对银行票据业务经营带来的诸多挑战：一是金融深化改革和创新发展,42,32,42,,,,
46,54,使得,cause,票据业务风险的影响因素更加复杂，对银行跨市场票据业务创新发展的风险防控能力提出更高要求；,44,1,15,17,43,,
46,57,促使,cause,四是监管部门强化银行资本监管，使得银行更加注重对各项资产业务经济资本回报的考核，而银行资本监管强化或将导致票据业务综合收益的不确定性增加，,69,54,68,,,,
46,57,促使,cause,银行优化调整经营结构的压力进一步增强,18,1,18,,,,
46,61,推动,cause,十八大之后，中央加快,10,0,0,,,,
46,61,推动,cause,经济结构优化调整和转变经济发展方式，GDP增速由10%以上的快速增长转变为个位数的稳定增长,45,1,8,10,17,19,45
46,65,推动,cause,在GDP同比增速下降的同期，,14,0,0,,,,
46,65,推动,cause,票据市场发展的内在动力除了原先宏观经济较快增长背景下的企业一般性票据融资需求之外，十八大之后，加快经济发展方式转变和经济结构优化调整还为票据市场的发展提供了新增票据融资需求,86,48,86,,,,
46,66,促进,cause,十八届三中全会明确提出要把经济改革作为全面深化改革的重点，《决定》中相关改革举措将为战略性新兴产业、先进制造业和现代服务业提供更广阔的发展空间，有利于进一步,78,37,71,,,,
46,66,促进,cause,上述行业中小企业加快发展，中小企业潜在票据融资需求有望成为未来票据市场发展的新增驱动力,43,5,12,14,43,,
46,70,从而,cause,而货币市场作为资金流动最便捷和频繁的场所，对不同金融改革政策变动引发的资金流动必然会作出反应,46,2,46,,,,
46,70,从而,cause,使得货币市场利率异常波动，并成为票据市场非常态波动影响因素,29,3,29,,,,
46,72,带来,cause,在经历了2013年年中银行间资金紧张对银行票据业务,25,12,18,,,,
46,72,带来,cause,的冲击之后，今后金融机构将以更加务实的经营策略稳健开展票据转贴现业务，票据市场仍将维持相对活跃,47,0,0,,,,
46,75,作用,cause,2014年，在新一轮经济金融改革利好政策,20,8,20,,,,
46,75,作用,cause,下，宏观经济对银行信贷资金需求仍将持续旺盛，在央行坚持执行稳健货币政策的背景下，货币信贷相对平稳增长有利于票据市场利率保持相对稳定运行,67,3,21,,,,
46,76,使得,cause,在监管政策引导下，部分银行将进一步优化信贷结构和加强流动性管理，银行间资金将会维持紧平衡状况，,47,10,31,33,46,,
46,76,使得,cause,票据转贴现利率在相对合理的价格区间维持震荡运行,23,1,23,,,,
47,6,使得,cause,第一阶段，2016年初至一季度末，央行于2月末降准，对政策的预期,32,18,25,,,,
47,6,使得,cause,收益率逐步下行；,8,1,7,,,,
47,7,由于,cause,经济数据回暖、信用风险发酵以及金融业营改增的三重影响,26,1,6,8,13,16,21
47,7,由于,cause,收益率出现了较大幅度的上调；,14,1,13,,,,
47,10,使得,cause,第五阶段，11月以来，由于美国特朗普当选总统引发通胀预期，美债收益率大幅上行，同时资金面边际趋紧,48,14,28,30,38,42,48
47,10,使得,cause,负债端压力增大，收益率出现快速调整，10年期国债近期上行至3.4%的高位,36,1,7,9,17,,
47,13,决定,cause,从较长时间来看，GDP增速水平在一定程度上,21,9,15,,,,
47,13,决定,cause,了国债收益率的波动区间,11,2,11,,,,
47,22,使得,cause,南京银行分析称，央行通过MLF和PSL操作补充基础货币，一定程度上替代了降准的作用，但由于这些工具存在到期续作的不确定性和对冲时点的不准确性，,71,9,27,,,,
47,22,使得,cause,资金面的波动性加大,9,1,9,,,,
47,24,使得,cause,这些都,3,0,0,,,,
47,24,使得,cause,明年的资金面在偏紧的基础上受到波动的冲击,20,4,20,,,,
47,26,带来,cause,单纯从招商银行利率定价模型来看，目前10年期国债已经大体回到了波动中枢附近，2017年未必很悲观，但去金融杠杆的力度确实对把握利率走势,67,51,58,,,,
47,26,带来,cause,了很大困扰，这是明年利率市场的最大变量,19,0,0,,,,
47,33,使,cause,同时央行将于2017年一季度评估时开始正式将表外理财纳入广义信贷范围，监管趋严将会,41,36,39,,,,
47,33,使,cause,理财规模增速进一步放缓，鉴于理财资金主要配置信用债，对信用债的配置资金将会减少,39,1,11,,,,
47,36,使得,cause,目前由于实体经济尚未有明显改善，同时房地产限购政策将会,27,19,25,,,,
47,36,使得,cause,房贷规模下降，表内信贷扩张仍然较为乏力,19,1,6,8,19,,
47,40,带来,cause,在配置压力和监管压力下，预计保险能够为债市,21,0,0,,,,
47,40,带来,cause,一定配置力量,6,1,6,,,,
47,43,造成,cause,春节前流动性压力仍然较大，叠加债市代持违约,21,1,12,16,21,,
47,43,造成,cause,的交易对手风险提高，预计一季度收益率在高位振荡,23,2,9,,,,
48,2,引起,cause,雾霾还在继续蔓延，中国约960万平方公里国土面积上空所发生的雾霾空气的严重污染事件也,42,10,41,,,,
48,2,引起,cause,世界关注,4,0,0,,,,
48,5,促使,cause,由此可见，相比中国经济高速发展，环境与健康不仅是国民生活的基础，也,33,17,21,,,,
48,5,促使,cause,人们对过去那些不顾环境保护、片面追求发展速度、缺乏政府规划的经济发展模式进行反思,40,1,40,,,,
48,11,使得,cause,鲁政委：虽然中国的环境问题很早就为专业人士所关注，但却只是在最近两三年因雾霾突然在中华大地铺天盖地袭来，中国居民的环境意识才真正得到实质性启蒙，并由此,75,51,71,,,,
48,11,使得,cause,在2013年12月召开的中央经济工作会议中，“环境治理和保护生态”被首次作为三大民生问题之一列入了2014年经济工作的六大主要任务之中,67,23,67,,,,
48,15,造成,cause,环境问题已严重影响了“人口红利”的延续，甚至还,23,1,19,,,,
48,15,造成,cause,了中国日益严峻的养老金给付能力问题,17,2,17,,,,
48,17,引来,cause,环境污染与粗放式经济增长模式形影不离，持续的雾霾不仅严重威胁着人们的健康，也说明中国经济发展的环境污染代价持续上升，甚至还,61,20,57,,,,
48,17,引来,cause,更多探讨，比如“人口红利”,13,0,0,,,,
48,32,造成,cause,因而，环境问题已严重影响了“人口红利”的延续，甚至还,26,4,22,,,,
48,32,造成,cause,了中国日益严峻的养老金给付能力问题,17,2,17,,,,
48,35,作用,cause,撇开其他方面不论，身体的健康程度是这些素质更高的人力资本能否充分发挥,34,0,0,,,,
48,35,作用,cause,的前提条件,5,0,0,,,,
48,36,使得,cause,然而，不断恶化的环境正,11,4,10,,,,
48,36,使得,cause,越来越多的年轻人受到病患困扰，未老先衰，甚至英年早逝；,27,1,26,,,,
48,40,使得,cause,在我国，即使撇开主观疏漏，日益严重的环境问题也,23,14,22,,,,
48,40,使得,cause,企业执行始终如一的高标准质量控制变得极为困难，质量事件防不胜防,31,1,22,,,,
48,47,使得,cause,在我国，即使撇开主观疏漏，日益严重的环境问题也,23,14,22,,,,
48,47,使得,cause,企业执行始终如一的高标准质量控制变得极为困难，质量事件防不胜防,31,1,22,,,,
48,49,造成,cause,比如，虽然本国理论上具备生产和供给能力，但却因反复出现质量问题,31,28,31,,,,
48,49,造成,cause,不信任,3,1,3,,,,
48,54,造成,cause,由此也,3,0,0,,,,
48,54,造成,cause,了中国内需的被动外溢：不是缺乏内需，而是不敢依赖国内供给,28,2,10,,,,
48,56,使得,cause,这种环境危机意识的觉醒，,12,3,11,,,,
48,56,使得,cause,人们更愿意为治理环境投入,12,1,12,,,,
48,60,使得,cause,这种环境危机意识的觉醒，,12,3,11,,,,
48,60,使得,cause,人们更愿意为治理环境投入,12,1,12,,,,
48,64,由于,cause,环境本质上是“公共物品”，在产权未获得清晰界定和保护的情况下,30,1,12,,,,
48,64,由于,cause,市场机制就很难真正有效运作,13,1,13,,,,
48,66,作用,cause,然而，在传统思维下，政府仍然乐意选择关停、补贴之类过去的惯用手段，由此，企业的投入取决于政府补贴的多少，而在相当大程度上排除了市场“决定性,69,11,32,37,51,,
48,66,作用,cause,”，可能最终收效甚微,10,0,0,,,,
49,5,使得,cause,在现行的单签制度下，尽管营销员不属于保险公司的员工而较少受到保险公司的管理，但是代理合同的唯一性,48,41,48,,,,
49,5,使得,cause,营销员的销售行为对保险公司具有一定的依附性，保险公司尚可通过佣金制度来规范营销员的行为,43,1,21,,,,
49,6,从而,cause,而在双签制度下，营销员手握两家代理合同，具有了“挑肥拣瘦”的本钱，加大了对保险公司的游离程度,46,9,46,,,,
49,6,从而,cause,使得保险公司难以对其销售行为进行规范管理,20,3,20,,,,
49,7,使得,cause,而且，营销员双签将会,10,4,8,,,,
49,7,使得,cause,保险公司的佣金成本变得不可控制,15,1,15,,,,
49,8,从而,cause,在现行的单签制度下，保险公司给营销员的佣金基本上是固定的，即使公司之间为了争夺营销员会爆发佣金战，营销员至少还要负担一定的离职成本，这会使得营销员权衡跳槽的利弊,80,71,80,,,,
49,8,从而,cause,相对的有利于营销员队伍和佣金率的稳定,18,4,18,,,,
49,9,带来,cause,而在双签制度下，保险公司之间的佣金战会直接的体现在营销员的业务倾向上，营销员无需离职就可以享受到跳槽的好处，尤其是对于非同一家保险集团下属的保险公司来说，双签制度,81,78,81,,,,
49,9,带来,cause,的佣金成本变动是一个需要注意的隐患,17,2,7,,,,
49,12,使得,cause,而在双签制度下，营销员是同时代理两家保险公司的产品，交叉销售很容易,33,9,33,,,,
49,12,使得,cause,消费者对保险公司的品牌产生混乱，不利于保险公司品牌的推广和管理,31,1,15,17,31,,
49,13,使得,cause,其次，对于保险消费者来说，双签制度,17,14,17,,,,
49,13,使得,cause,销售误导治理更加困难,10,1,10,,,,
49,14,引发,cause,在单签制度下，销售误导行为主要是由于营销员的薪酬激励机制及管理问题,33,8,13,,,,
49,14,引发,cause,的，保监会对销售误导的治理主要是通过加大保险公司的连带责任来督促保险公司加强对营销员的管理，尽管这并非治本之策，但是短期内有利于扭转销售误导严重的局面,75,0,0,,,,
49,16,从而,cause,最后，对于营销员体制改革来说，双签制度将会带来一系列的问题,29,16,29,,,,
49,16,从而,cause,延误甚至阻滞改革的深入,11,1,11,,,,
49,17,造成,cause,时至今日，营销员制度已经成为我国保险行业发展的一块“鸡肋”：保留或继续发展会进一步强化其固有的劣势，而一步到位式的改革则会对行业的销售渠道,69,52,59,,,,
49,17,造成,cause,过于严重的损害,7,1,7,,,,
49,20,使得,cause,个人行为与企业行为的界定模糊，,15,1,14,,,,
49,20,使得,cause,营销员的管理漏洞百出,10,1,10,,,,
49,21,作用,cause,所以，改革的思路之一就是逐渐弱化个体行为在保险销售中的,27,0,0,,,,
49,21,作用,cause,和地位，逐渐实现从个体行为向企业法人行为的转变,23,0,0,,,,
49,22,从而,cause,而双签制度的实行，将进一步强化营销员的个体行为,23,2,8,11,23,,
49,22,从而,cause,阻碍营销员制度改革的进行,12,1,12,,,,
49,23,带来,cause,双签制度实行所,7,1,6,,,,
49,23,带来,cause,的营销员数量的大幅增加，将会极大地增加营销员改革的难度,27,2,11,,,,
49,25,使得,cause,实行双签制度以后，财险营销员的数量将会大幅度增加，这将会大大增加营销员分流的难度，,41,1,6,10,24,29,40
49,25,使得,cause,保险营销员改革思路难以彻底贯彻，拖慢改革的进度,23,1,14,16,23,,
49,26,使得,cause,双签制度还会,6,1,4,,,,
49,26,使得,cause,专业保险中介机构的发展受到影响,15,1,15,,,,
49,28,从而,cause,双签制度的实行，财产险市场的销售格局将会进一步向营销员渠道倾斜，专业中介机构的市场份额在短期内会出现一定的下滑,55,33,55,,,,
49,28,从而,cause,阻碍其进一步的发展,9,1,9,,,,
49,29,所以,cause,总而言之，保险交叉销售强调的是公司对公司、法人对法人的合作，双签制度则会强化营销员的个体行为，这与保险市场的总体发展趋势并不吻合，对于正在进行中的营销员制度改革也是一个不利因素,88,6,88,,,,
49,29,所以,cause,被叫停，也是出于这一考虑，这对于保险市场的可持续发展无疑具有正面的意义,35,0,0,,,,
50,3,使得,cause,原因很简单，因为在面临新挑战时，人们总会发挥聪明才智，找到解决严竣挑战的新方法，,40,9,39,,,,
50,3,使得,cause,似乎是无解的问题能够得到圆满的解决,17,1,17,,,,
50,6,从而,cause,随着电脑和网络技术的发展，人类社会迎来了知识大爆炸的新时代，似乎人类社会就要被那无穷尽的垃圾讯息所湮没,51,14,29,33,51,,
