article,sentence,keyword,cause,effect
5,47,使得,菜价的上涨和下跌对城镇居民和农民形成零和博弈,政策逐渐脱锚
5,47,使得,城镇化的预期和恩格尔系数的下降,政策逐渐脱锚
5,48,因为,经济的增杠杆趋势没有显著形成,货币仍保持中性
5,62,因,政策收紧环比下行,偏高位置
5,62,因,恢复性增长,偏高位置
5,65,使得,资金成本在极大程度上瓜分了投资的利润,比值出现长趋势上行
5,65,使得,资金成本在极大程度上瓜分了投资的利润,势必要将杠杆率拉至高位
5,72,使得,投资可能会造成对消费的挤出效应,收入差距扩大化
5,72,使得,投资可能会造成对消费的挤出效应,投资与基尼系数的关系确实可以看出二者在过去十年的高点
5,74,带来,阶段性改革造成的政策放宽,寻租机会
5,75,引起,亿元投资,资源财富隐性转移分配
6,1,促进,全面深化改革,效率的提高
6,1,促进,全面深化改革,结构的优化
6,8,造成,粗放增长方式,死资产存量
6,13,因为,销售不畅而资金紧张,跑路的现象
6,13,因为,一些企业的偿债危机,跑路的现象
6,17,使得,提升增长率,投资者取得更高的回报
6,17,使得,解除一些企业的经营困难,投资者取得更高的回报
6,23,使得,资产负债表中间的杠杆率进一步提高,发生系统性危机的可能性增大
6,24,促进,全面深化改革,效率的提高
6,24,促进,全面深化改革,结构的优化
6,48,使得,效率的提高,保就业
6,48,使得,效率的提高,保民生的目的能够达到
6,60,使得,那些僵尸企业用各种办法，用政府的补贴，或者用一些减税或者是用资金注入来维持,资产负债表杠杆会有提高
6,69,以便,止现在普遍实行的刚性兑付的办法,释放风险
6,70,造成,粗放增长方式,死资产存量
6,91,因为,第三产业的发展加速,服务业的发展加速
6,103,因为-所以,服务业吸收就业的能力更强,们就业情况大大的改善
7,1,使得,老龄化程度的加深,以个人税收递延型商业养老保险
7,1,使得,老龄化程度的加深,“税延养老保险”）为代表的商业养老保险日益成为民生焦点问题
7,13,使得,新个税的出台,税延养老保险也面临着马上“升级换代”的问题
7,15,使得,新个税出台,覆盖人群大大缩减
7,15,使得,税延养老保险能带来的优惠大幅下降,覆盖人群大大缩减
7,16,因此,离了当初推行税延养老保险的,新个税来更新税延养老保险政策
7,20,推动,充分发挥税收政策的引导作用,税延养老保险的快速发展
7,20,推动,充分发挥税收政策的引导作用,构建一个多层次养老
7,20,推动,充分发挥税收政策的引导作用,保障中国人的美好晚年生活
7,23,从而,加大税延型商业养老保险政策力度,促进商业养老保险发挥对社会保障体系的补充作用
7,23,从而,加大税延型商业养老保险政策力度,为提高国民老年生活水平、实现老有所养
7,23,从而,更多人能够享受到该项政策福利,促进商业养老保险发挥对社会保障体系的补充作用
7,23,从而,更多人能够享受到该项政策福利,为提高国民老年生活水平、实现老有所养
7,39,使得,养老保险仅在三个地区试点，覆盖范围有限,无法将更多人群纳入保险范围
7,41,从而,进一步扩大税延养老保险产品范围和地域范围，并在申报过程中实现税务信息共享,简化税务申报流程
7,45,推动,美国税收递延政策广泛适用于个人购买的年金保险,年金保险在1971年至1982年年均20％以上增长
8,5,引起,出租车拒载、群体性上访“出租车事件”等见诸报端,现行的出租车管理制度也相继遭到了批评
8,6,导致,对出租车行业施行严格的准入管制、数量管制和租价管制,行业利润分配不均，甚至一度出现垄断现象
8,7,导致,现行的出租车管理制度还有诸多不足，监督管理体制仍然很不规范，同时缺乏有力竞争,市场活力不足
8,11,带来,移动互联网和大数据技术的爆炸式发展,的便捷不断地改变着人们的生活方式
8,34,使得,“专车”通过组合合同关系，实现了租赁车向预约出租车的“跨界”,专车成为一种典型的法律规避行为
8,37,由于,人类认识的有限性,立法滞后于现实生活
8,37,由于,社会经济的不断发展,立法滞后于现实生活
8,39,因为-所以,某些强行法规与现实脱节,避法行为有其正当性
8,48,引发,“专车”强势进军出租车行业,对出租车行业的管制制度的冲击
8,50,由于,市场的失灵,保障交易秩序
8,50,由于,政府的管制有利于维护公平交易,保障交易秩序
8,53,致使,新的市场参与,一度出现垄断现象而裹足不前
8,53,致使,新技术带来的新式竞争环境,一度出现垄断现象而裹足不前
8,74,由于,政府对微观经济主体活动进行全面干预,市场在资源配置中几乎无用武之地
8,84,导致,政府对出租车数量的管控,屡禁不止的“黑车”
8,85,使得,对出租车施行严格的数量管制,“黑车”有机可趁
8,85,使得,出租车数量的有限,“黑车”有机可趁
8,86,使得,对出租车司机的职业道德无法有效管控,强制要求拼
8,86,使得,对出租车司机的职业道德无法有效管控,随意开价
8,87,造成,兼并重组,经营权集中，形成法定垄断
8,89,由于,道路条件限制，时速低于12公里时，每5分钟早晚高峰期间加收2公里租价（不含空驶费）,其他时段加收1公里租价（不含空驶费）
8,102,导致,价格管制,“高空驶率”
8,102,导致,价格管制,出租车司机为了追求更高的利润，往往会“拒载”距离较近的乘客
8,103,导致,准入管制,市场竞争活力不足
8,103,导致,准入管制,个体、私营企业难以进入该市场
8,103,导致,准入管制,不利于资源的优化配置
8,103,导致,限制了市场准入,市场竞争活力不足
8,103,导致,限制了市场准入,个体、私营企业难以进入该市场
8,103,导致,限制了市场准入,不利于资源的优化配置
8,110,因为-故,出租车市场过度竞争,美国政府开始逐步介入出租车市场
8,110,因为-故,服务质量下降,美国政府开始逐步介入出租车市场
8,110,因为-故,市场份额分配不均,美国政府开始逐步介入出租车市场
8,118,以便,对出租车的收费标准和车型都通过法律规定统一标准,保证出租车服务的质量和车辆行驶的安全
8,123,从而,成熟的协会办事机构,制定有效政策推动出租车行业有序发展
8,123,从而,有助于政府准确把握市场态势,制定有效政策推动出租车行业有序发展
8,133,使,满足不同层次的居民需求,出租车具有更加准确的客户群
8,133,使,满足不同层次的居民需求,加强资源的合理配置
8,135,因为-从而,协会和司机之间的关系往往更加密切,便于政府及时掌握市场信息
9,0,使得,网贷备案整改验收工作量大,整体进度滞后
9,0,使得,操作难度大,整体进度滞后
9,8,决定,“爆雷潮”、逾期潮,平台生死
9,8,决定,网贷备案政策被业内视为,平台生死
9,19,使得,小小金融CEO刘,整体进度滞后
9,19,使得,示，网贷备案整改验收工作,整体进度滞后
9,19,使得,大，操作难,整体进度滞后
9,22,从而,有问题且实力不济的平台,营造良币驱逐劣币的市场环境
9,23,由于,备案延期,网贷机构数量出现显著下降趋势
9,23,由于,平台风险集中暴露,网贷机构数量出现显著下降趋势
9,26,使得,整治的综合成本、社会成本提升,面临政策调整的风险
9,26,使得,平台合规成本同步加大,面临政策调整的风险
9,26,使得,部分积极备案的网贷平台陷于被动,面临政策调整的风险
9,32,使得,平台爆雷,投资人情绪受到很大
9,32,使得,平台爆雷,投资人大多选择谨慎观望
10,6,使,俄罗斯货币大幅度贬值,国内经济雪上加霜
10,14,作用,缓解居民抛售卢布,通胀放缓
10,14,作用,稳定货币,通胀放缓
10,15,使得,加息又会进一步扼杀经济增长,国内企业融资成本上升
10,15,使得,加息又会进一步扼杀经济增长,加重国内企业负担
10,18,导致,抛售美元救卢布汇率,俄罗斯经济全面崩盘
10,18,导致,美元储备很快被耗干,俄罗斯经济全面崩盘
10,19,促使,美联储正在走入加息通道,卢布继续快速贬值
10,19,促使,美联储正在走入加息通道,俄罗斯央行加息等货币政策效用
10,19,促使,美元已经进入升值周期,卢布继续快速贬值
10,19,促使,美元已经进入升值周期,俄罗斯央行加息等货币政策效用
10,23,使,俄罗斯外储基本是有出无进的状态,美元外汇流入大减
10,23,使,创汇的石油价格暴跌,美元外汇流入大减
10,24,使得,一个美元大幅度流失,俄罗斯外汇储备乃至整个经济越来越堪忧
10,24,使得,一个外储大幅度减少,俄罗斯外汇储备乃至整个经济越来越堪忧
10,29,使得,其他经济体寻求融资帮助,俄罗斯渡过目前经济金融难关
11,8,因为-从而,业态丰富,不断地改变着产品和服务价值链条，形成了丰富的保险科技业态
11,8,因为-从而,很多前沿技术在保险业务中有了很大施展空间,不断地改变着产品和服务价值链条，形成了丰富的保险科技业态
11,13,从而,健康风险画像和疾病风险预测,保险服务的内涵不断扩大
11,14,使得,保险服务可触及性增强,保险业高质量服务的形象开始深入人心
11,14,使得,智能交互体验提升,保险业高质量服务的形象开始深入人心
11,14,使得,理赔核保时间周期的缩短、效率提升,保险业高质量服务的形象开始深入人心
11,16,使得,互联网等保险科技的应用,市场需求不断打开
11,16,使得,互联网等保险科技的应用,保险需求也出现差异化以及个性化
11,16,使得,互联网等保险科技的应用,业务的同质化
11,16,使得,互联网等保险科技的应用,提升产品的竞争力
11,18,使得,保险科技的使用,保险细分市场走向深入，出现了很多定制化的“小众产品”及特定的消费群体
11,20,使得,科技的运用,保险的专业化服务内容不断外延
11,20,使得,科技的运用,提高保险服务的粘性和附着力
11,23,从而,保险科技业态会更加丰富,更加优化保险产业链
12,0,使得,宏观经济环境加速恶化,众多投资者纷纷涌向金市
12,0,使得,宏观经济环境加速恶化,贵金属投资掀起一轮狂潮
12,0,使得,黄金白银等贵金属价格一路飙升,众多投资者纷纷涌向金市
12,0,使得,黄金白银等贵金属价格一路飙升,贵金属投资掀起一轮狂潮
12,0,使得,双双突破历史高点,众多投资者纷纷涌向金市
12,0,使得,双双突破历史高点,贵金属投资掀起一轮狂潮
12,1,带来,白银T+D成交量由去年的7603万吨迅速升至今年的2.,地下炒金公司更是层出不穷
12,1,带来,黄金T+D成交总额也比去年增长38%,地下炒金公司更是层出不穷
12,1,带来,巨大的投资机会,地下炒金公司更是层出不穷
12,2,使得,公司设备不够健全,众多地下炒金的投资者血本无归
12,6,使得,国内黄金市场的整顿,贵金属投资者纷纷涌向黄金期货以及境外贵金属投资
12,10,使得,国内黄金市场的整顿,投资者的资金安全有了更好的保证
12,11,使得,投资平台变小,国内贵金属价格波动进一步与国际接轨
13,3,引发,市场化、商业化程度较高,恶性竞争和价格战
13,3,引发,市场化、商业化程度较高,各类违规行为也层出不穷
13,3,引发,追求规模和市场份额成为很多中小企业的目标,恶性竞争和价格战
13,3,引发,追求规模和市场份额成为很多中小企业的目标,各类违规行为也层出不穷
13,10,使得,改革开放后我国家庭部门的资产增长,机动车辆保险成为我国财产保险的主要组成
13,10,使得,机动车辆成为家庭资产的重要组成部分,机动车辆保险成为我国财产保险的主要组成
13,13,使得,新车销量的下滑,车险市场发展放缓
13,13,使得,商车非改的推进,车险市场发展放缓
13,20,引发,沿海地区连续的台风灾害,对于巨灾保险的认识和需求
13,21,带来,寿险业转型、车险市场改革,长期利好
13,21,带来,庞大的人口基数,长期利好
13,21,带来,整个经济社会和家庭居民风险管理需求的增加,长期利好
13,22,使得,制度框架的逐步完善和从严监管,保险市场竞争环境更加规范、公平和透明
14,2,指引,保险业监管厘清“监管姓监”“保险姓保”,保险市场出现了市场秩序重塑和业务结构优化
14,2,指引,保险业监管厘清“监管姓监”“保险姓保”,踏上了高质量发展的转型之路
14,2,指引,保险业回归保障本源的理,保险市场出现了市场秩序重塑和业务结构优化
14,2,指引,保险业回归保障本源的理,踏上了高质量发展的转型之路
14,13,从而,保险监管的端口前移,完善保险公司的公司治理，防止激进经营和高风险偏好
14,13,从而,保险监管的端口前移,促进保险公司稳健发展
14,19,使得,关于组织开展人身保险产品专项核查清理工作,人身险保费结构发生了很大变化
14,19,使得,关于组织开展人身保险产品专项核查清理工作,中短存续期产品、附加万能险产品的销售几近停滞
14,19,使得,关于组织开展人身保险产品专项核查清理工作,保险业的保障功能不断增强
14,26,使得,在消费者权益保护方面加大建设,保险业的形象大为改观
14,26,使得,完善相关监管制度、严格保险机构和人员,保险业的形象大为改观
14,26,使得,保险机构加强从业人员合规培训与诚信教育,保险业的形象大为改观
14,26,使得,加强对保险机构及其从业人员保险营销宣传行为监管,保险业的形象大为改观
14,33,使得,保险理赔服务标准化、透明化和信息化,保险业社会信誉和保险消费者满意度不断提升
14,34,使得,监管部门持续的风险提示和案例分析,消费者的权益意识和风险防范意识有所增强
15,10,因此,信用利差水平达到历史均值以上并基本保持稳定,“中高等级债安全边际明显提升
15,10,因此,信用利差水平达到历史均值以上并基本保持稳定,具备配置价值”
15,10,因此,信用利差水平达到历史均值以上并基本保持稳定,交易性机会
15,10,因此,整体配置价值较前期有所提升,“中高等级债安全边际明显提升
15,10,因此,整体配置价值较前期有所提升,具备配置价值”
15,10,因此,整体配置价值较前期有所提升,交易性机会
15,12,因此,城投类企业债可能是1,城投债发行屡屡放量
15,12,因此,城投类企业债可能是1,低评级城投债的需求仍然较强
15,12,因此,维短融兑付,城投债发行屡屡放量
15,12,因此,维短融兑付,低评级城投债的需求仍然较强
15,12,因此,地产债回购风险缓解,城投债发行屡屡放量
15,12,因此,地产债回购风险缓解,低评级城投债的需求仍然较强
15,12,因此,投资风险偏好的上升,城投债发行屡屡放量
15,12,因此,投资风险偏好的上升,低评级城投债的需求仍然较强
15,12,因此,对于政府或银行救助的高度预期,城投债发行屡屡放量
15,12,因此,对于政府或银行救助的高度预期,低评级城投债的需求仍然较强
15,12,因此,部分投资者倾向于选择高票息的品种,城投债发行屡屡放量
15,12,因此,部分投资者倾向于选择高票息的品种,低评级城投债的需求仍然较强
15,13,由于,当前的市场环境仍在不断强化市场对于道德风险的预期,城投债供求两旺的局面可能仍将持续
15,14,因此,投资者关注地方政府收入增速放缓及其支持城投企业能,投资者选择相对优质的城投债进行配置
15,14,因此,城投债信用风险提升,投资者选择相对优质的城投债进行配置
16,1,使得,房地产和城投融资对其他表内融资形成挤出,居民储蓄意愿增强
16,1,使得,房地产和城投融资对其他表内融资形成挤出,降低消费意愿
16,1,使得,无风险利率的大幅上升,居民储蓄意愿增强
16,1,使得,无风险利率的大幅上升,降低消费意愿
16,23,由于,外汇占款在6月和7月份明显减少,存款增长乏力
16,23,由于,银行理财资金回表受监管影响而降低,存款增长乏力
16,28,由于,债券需求被压缩,绝对利率水平较低的利率型债券
16,28,由于,信用债净增量下降,绝对利率水平较低的利率型债券
16,28,由于,债券收益率大幅走高,绝对利率水平较低的利率型债券
16,30,从而,银行为了保证高收益资产的需求,挤压低收益资产配置，形成了类似“劣币驱逐良币”的效应
16,32,导致,贷款基准利率并没有相应上调,贷款利率和政策性银行债的利差严重压缩
16,33,由于-因此,政策性银行的贷款投放主要是基准利率或者基准利率略下浮,发行利率大幅上升
16,33,由于-因此,政策性银行的贷款投放主要是基准利率或者基准利率略下浮,资产端利率变化不大严重挤压了其利润空间
16,37,使得,贷款基准利率不变,信用债收益率上升幅度低于利率债
16,37,使得,信用债收益率的上行空间,信用债收益率上升幅度低于利率债
16,37,使得,三季度信用债供需状况好于利率债,信用债收益率上升幅度低于利率债
16,38,使得,信用债收益率的上升,信用债供给减少
16,43,导致,中国无风险利率的上升使得中国与海外发达经济体的利差随之升高到历史高位,人民币面临持续较强的升值压力
16,43,导致,中国3年期国债和美国3年期国债的利差就至少处于过去十几年的高位）,人民币面临持续较强的升值压力
16,44,使得,在人民币国际化进程当中,利差水平较之贸易顺差大小对人民币升值的影响力更大
16,44,使得,套利需求的上升,利差水平较之贸易顺差大小对人民币升值的影响力更大
16,46,使得,无风险利率大幅上升,经济结构的失衡更为严重
16,46,使得,居民的储蓄意愿进一步增强,经济结构的失衡更为严重
16,46,使得,并降低消费意愿,经济结构的失衡更为严重
16,50,从而,居民的储蓄率呈现一路上升的趋势,挤压了消费需求
16,53,导致,房地产和城投融资需求的“欲壑难填”,经济结构失衡和可持续性转差
16,53,导致,房地产和城投融资需求的“欲壑难填”,无风险利率的大幅上升
16,68,导致,央行从资金供给端收紧,经济和金融市场进一步失衡
16,68,导致,“宽信用，紧货币”,经济和金融市场进一步失衡
16,70,带来,信贷增长速度偏快,流动性宽松
16,70,带来,外汇占款回升,流动性宽松
16,77,导致,打压供给,“劣币驱逐良币”的效应进一步深化
16,77,导致,打压供给,加速对其他正常融资需求的挤压
16,77,导致,打压供给,深化经济的失衡
17,0,使得,市场倾向于将7天利率看做货币政策调控的基准利率，但在实际中，却经常发生1天和7天利率的脱节,货币政策的意图可能被弱化
17,0,使得,在资金面超预期宽松的时期，反映市场实际资金松紧的反而是隔夜利率,货币政策的意图可能被弱化
17,1,使得,SLO工具的新增亮点在于增加了隔夜品,调控更加贴近市场实际
17,18,使得,SLO的推,银行间市场利率的可预见性更强
17,18,使得,SLO的推,降低银行间市场的投机性需求
17,18,使得,会降低货币市场利率的波动,银行间市场利率的可预见性更强
17,18,使得,会降低货币市场利率的波动,降低银行间市场的投机性需求
17,19,使得,货币市场利率波动性的减小,银行间市场收益率曲线期限结构更为合理
17,19,使得,货币市场利率波动性的减小,各类产品收益率之间的收敛性更好
17,19,使得,不同期限、不同产品之间的套利交易增多,银行间市场收益率曲线期限结构更为合理
17,19,使得,不同期限、不同产品之间的套利交易增多,各类产品收益率之间的收敛性更好
17,24,使得,市场倾向于将7天利率看做货币政策调控的基准利率，但在实际中，却经常发生1天和7天利率的脱节,货币政策的意图可能被弱化
17,24,使得,在资金面超预期宽松的时期，反映市场实际资金松紧的反而是隔夜利率,货币政策的意图可能被弱化
17,25,使得,SLO工具的新增亮点在于增加了隔夜品,调控更加贴近市场实际
17,26,因为,当前金融环境变化较快,机构的资金运用也更趋短期化
17,27,从而,央行有了隔夜回购利率工具,可以更为有效的传递货币政策意图
17,27,从而,银行间市场1天拆借利率也能得到央行的指导,可以更为有效的传递货币政策意图
17,27,从而,央行对于短期利率的调控能力也就得到进一步加强,可以更为有效的传递货币政策意图
17,28,由于,银行利用SLO工具可以更方便地从央行获得流通资,释放金融系统的活力
17,28,由于,大提高货币资金使用效,释放金融系统的活力
17,38,从而,货币市场的寡头垄断力量得到有效平衡,更好地稳定公开市场操作利率
17,38,从而,增强市场机构对流动性状况稳定性的预期,更好地稳定公开市场操作利率
17,42,从而,央行推出SLO有利于引导货币市场利率下,降低社会融资成本
17,44,从而,此央行通过调节回购的利率和数量可以在一定限度上影响二级市场的回购利率水,对其余货币市场利率和债券市场收益率水平起到调节的作用
17,46,造成,央行通过公开市场操作而向市场释放过多流动性,市场流动性泛滥
17,47,使得,SLO应当定位于惩罚性利,相关银行只有在不能以合理的价格从其他银行融入资金时才会求助于SL
17,47,使得,的逆回购利率不宜过,相关银行只有在不能以合理的价格从其他银行融入资金时才会求助于SL
18,2,使得,流动性充裕状态,行情在3700点附近存在较大的反复可能
18,2,使得,经济数据的超预期回落,行情在3700点附近存在较大的反复可能
18,2,使得,技术面强烈调整要求,行情在3700点附近存在较大的反复可能
18,8,使得,PMI数据意外跌落至50%的,A股当前所处的基本面氛围相对偏冷
18,8,使得,其中订单、产出、就业等分项指数均较2月大幅,A股当前所处的基本面氛围相对偏冷
18,8,使得,后，经济再度出现了萎缩,A股当前所处的基本面氛围相对偏冷
18,8,使得,势，阶段性下行压力,A股当前所处的基本面氛围相对偏冷
18,9,引发,经济低迷,新一轮宽松政策出台
18,9,引发,经济低迷,并不利于经济结构的转型
18,16,推动,日本、欧洲等国外主要经济体竞相宽松,A股有望保持强势
18,16,推动,国内对QFII额度的持续提,A股有望保持强势
19,14,引发,房地产去库存取得成效,房地产市场价格暴涨
19,20,引发,高度金融化和高度关联性,地方财政扭曲
19,20,引发,高度金融化和高度关联性,系统性金融风险
19,20,引发,金融机构资产质量恶化,地方财政扭曲
19,20,引发,金融机构资产质量恶化,系统性金融风险
19,28,使得,以美国次级债、信用违约掉期、信用担保凭证及其衍生品为代表的复杂金融产品创新及影子银行体系的形成,金融体系成为一个跨界融合的风险综合体
19,28,使得,影子银行成为与商业银行等量齐观的“平行银行体系”,金融体系成为一个跨界融合的风险综合体
19,32,导致,跨界性的金融创新,扩大了金融体系的复杂性
19,32,导致,跨界性的金融创新,跨界性的综合经营将会弱化监管有效性
19,32,导致,跨界性的金融创新,分业监管与跨界经营的制度性错配
19,34,使得,我国的影子银行与银行部门紧密相连,影子银行的风险极其容易传导至在我国金融体系内具有系统重要性的银行部门
19,34,使得,关联性,影子银行的风险极其容易传导至在我国金融体系内具有系统重要性的银行部门
19,38,使得,信用的扩张和交易的过度,机构最基本的风险管理策略遭到破坏
19,38,使得,信用的扩张和交易的过度,自我强化的去杠杆将产生系统性风险
19,38,使得,期限错配,机构最基本的风险管理策略遭到破坏
19,38,使得,期限错配,自我强化的去杠杆将产生系统性风险
19,38,使得,流动性风险,机构最基本的风险管理策略遭到破坏
19,38,使得,流动性风险,自我强化的去杠杆将产生系统性风险
19,40,使得,我国金融市场的微观结构更加散户化,整个体系可能更加的脆弱
19,41,使得,部分私募产品呈现公募化特征,现散户
19,42,导致,散户化或零售性金融产品出现挤兑,流动性危机
19,42,导致,金融机构期限错配,流动性危机
19,44,导致,以债券市场为核心的直接金融机制较为缺乏,债市一定程度的“自娱自乐”
19,44,导致,以债券市场为核心的直接金融机制较为缺乏,相关的空转、杠杆等问题
19,44,导致,居民和企业的金融选择权和定价权相对缺失,债市一定程度的“自娱自乐”
19,44,导致,居民和企业的金融选择权和定价权相对缺失,相关的空转、杠杆等问题
19,44,导致,制约了储蓄-投资转化机制的顺畅性,债市一定程度的“自娱自乐”
19,44,导致,制约了储蓄-投资转化机制的顺畅性,相关的空转、杠杆等问题
19,45,导致,阻碍了债券市场的统一性和协调性,市场定价机制相互分割甚至存在套利
19,45,导致,阻碍了债券市场的统一性和协调性,市场收益率曲线不能充分反映供求关系
19,50,使得,债券市场的违约在加速出现,债券市场的风险开始“水落石出”
19,50,使得,债券市场的违约在加速出现,信用债违约、国债期货跌停
19,50,使得,债券市场的违约在加速出现,批发市场流动性紧张等成为日益显性化的风险
19,50,使得,刚兑的打破,债券市场的风险开始“水落石出”
19,50,使得,刚兑的打破,信用债违约、国债期货跌停
19,50,使得,刚兑的打破,批发市场流动性紧张等成为日益显性化的风险
19,50,使得,信用利差的定价出现改善,债券市场的风险开始“水落石出”
19,50,使得,信用利差的定价出现改善,信用债违约、国债期货跌停
19,50,使得,信用利差的定价出现改善,批发市场流动性紧张等成为日益显性化的风险
19,50,使得,监管部门监管趋严,债券市场的风险开始“水落石出”
19,50,使得,监管部门监管趋严,信用债违约、国债期货跌停
